Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Oxycheilinus bimaculatus,Two-spot wrasse,Labridae,benthic,species,84,31,232,0.901,0.386,2.405,0.166,0.082,0.335,18.7,15.8,21,31.5,11.2,91.7,119,40,374,2.51,1.05,4.6
Oxycheilinus digramma,Cheeklined wrasse,Labridae,benthic,species,49.6,16.8,141.8,0.78,0.33,2.2,0.289,0.118,0.698,17.6,14.7,19.9,36.2,11,116.4,140,39,548,2.44,0.96,4.91
Oxycirrhites typus,Longnose hawkfish,Cirrhitidae,benthic,species,103,60,192,0.679,0.403,1.096,0.114,0.069,0.19,18.6,17.6,19.6,29.2,15.3,54,129,46,340,1.78,1.19,2.6
Oxymonacanthus longirostris,Harlequin filefish,Monacanthidae,benthic,species,106,36,245,0.807,0.471,1.7,0.133,0.061,0.274,18.5,16.2,20.7,26.3,12.6,61.6,77.8,23.5,259.6,1.52,0.87,2.49
Oxyurichthys papuensis,Frogface goby,Gobiidae,benthic,species,92.3,42.7,177.3,0.802,0.435,1.516,0.295,0.128,0.657,17.5,15.8,19.2,27.5,12,62.3,130,31,467,1.88,1.13,3.05
Papilloculiceps longiceps,Tentacled flathead,Platycephalidae,benthic,family,50.8,21.4,111.9,0.482,0.285,0.994,0.13,0.06,0.37,18.1,15.8,20.2,50.9,26.1,126.1,60.7,22.6,150.8,1.05,0.65,1.66
Paracaesio xanthura,Yellowtail blue snapper,Lutjanidae,pelagic,species,35.1,19.4,64.4,0.636,0.402,1.029,0.144,0.094,0.219,18.8,16.9,20.5,40.7,22.7,68.3,84.9,32.4,240.4,1.01,0.65,1.44
Paracanthurus hepatus,Palette surgeonfish,Acanthuridae,pelagic,species,47.6,26.4,81.4,0.684,0.399,1.139,0.148,0.091,0.243,18.9,17.8,19.9,29.1,14.7,55.1,74.8,25.2,227.6,1,1,2
Paracirrhites arcatus,Arc-eye hawkfish,Cirrhitidae,benthic,species,72.5,47.5,137,0.66,0.39,0.99,0.162,0.116,0.227,19.3,18.4,20.2,31.2,18.5,49.6,108,43,258,1.41,1.03,1.9
Paracirrhites forsteri,Blackside hawkfish,Cirrhitidae,pelagic,species,63.2,37.9,117.9,0.705,0.398,1.093,0.186,0.121,0.283,19.4,18.4,20.4,30.3,16.2,61,213,85,488,1.11,0.78,1.57
Paragobiodon echinocephalus,Redhead goby,Gobiidae,benthic,family,224,108,444,1.03,0.55,2.03,0.167,0.073,0.325,18.1,16.2,20,18.4,8.3,42.5,110,29,432,2.04,1.16,3.53
Paragobiodon lacunicolus,Blackfin coral goby,Gobiidae,benthic,family,293,134,606,1.18,0.62,2.42,0.175,0.075,0.356,18.1,16.2,20,17.9,7.4,43.5,107,26,447,2.2,1.2,3.9
Paragobiodon modestus,Warthead goby,Gobiidae,benthic,family,253,119,514,1.09,0.58,2.2,0.17,0.07,0.34,18.1,16.2,20,18.2,7.9,42.8,109,27,439,2.11,1.2,3.71
Paragobiodon xanthosoma,Emerald coral goby,Gobiidae,benthic,family,224,108,444,1.03,0.55,2.03,0.167,0.073,0.325,18.1,16.2,20,18.4,8.3,42.5,110,29,432,2.04,1.16,3.53
Paraluteres prionurus,False puffer,Monacanthidae,benthic,species,107,37,254,0.892,0.514,1.866,0.124,0.055,0.254,18.3,16,20.5,26.1,12.6,61,59.6,17.3,206.1,1.69,0.97,2.79
Parapercis cylindrica,Cylindrical sandperch,Pinguipedidae,benthic,species,115,66,250,0.965,0.59,1.525,0.102,0.06,0.173,18.4,16.1,20.6,44.2,23.4,90,24.7,7.9,80.7,1.59,1.08,2.35
Parapercis punctulata,Spotted sandperch,Pinguipedidae,benthic,genus,131,77,265,0.802,0.505,1.289,0.119,0.072,0.199,18.2,15.9,20.3,33,17,62,83.3,29.9,217.5,1.73,1.19,2.49
Parapercis schauinslandii,Redspotted sandperch,Pinguipedidae,pelagic,species,85.8,49.3,160.2,0.842,0.55,1.315,0.116,0.07,0.192,18,16,20,33.9,17.5,61.2,114,45,284,1.43,1,2.03
Parapriacanthus ransonneti,Golden sweeper,Pempheridae,pelagic,species,104,59,177,0.96,0.61,1.63,0.165,0.094,0.282,18.7,17.6,19.8,23.5,11.2,45.8,127,41,393,1.37,0.9,2.11
Parascorpaena aurita,Golden scorpionfish,Scorpaenidae,pelagic,family,128,55,316,0.879,0.47,1.835,0.473,0.185,1.385,17.1,15,19.1,27.9,11.6,75.8,205,60,701,1.98,1.22,3.18
Parascorpaena picta,Northern scorpionfish,Scorpaenidae,pelagic,family,93.6,47.5,244.7,0.677,0.355,1.22,0.23,0.11,0.62,18.3,16.4,20.3,31.5,15.1,70.9,157,56,424,1.48,0.98,2.15
Parastromateus niger,Black pomfret,Carangidae,pelagic,species,108,20,332,1.29,0.44,2.85,0.246,0.111,0.548,18.4,17,19.9,41.6,16.2,109.1,29.2,5.6,132.6,0.774,0.383,1.888
Pardachirus marmoratus,Finless sole,Soleidae,benthic,species,63,30,134,0.559,0.309,1.06,0.0867,null,null,19.3,17.6,21,29.2,14.1,62,66.7,17.2,244.3,1.1,0.6,1.7
Parexocoetus brachypterus,Sailfin flyingfish,Exocoetidae,pelagic,species,332,121,902,3.41,1.65,5.93,0.439,0.194,1.114,18.7,16.6,20.6,27.4,11.9,60.7,9.95,2.51,44.61,1.17,0.74,1.91
Parupeneus barberinus,Dash-and-dot goatfish,Mullidae,benthic,species,24.3,12.1,50.3,0.265,0.146,0.547,0.112,0.064,0.201,18.3,15.1,21.1,66.9,32,146.7,217,34,869,0.493,0.298,1.049
Parupeneus ciliatus,Whitesaddle goatfish,Mullidae,benthic,species,35.6,17.8,76,0.313,0.17,0.643,0.123,0.07,0.22,18.3,15.1,21.1,62,29,137,243,39,964,0.552,0.332,1.144
Parupeneus cyclostomus,Gold-saddle goatfish,Mullidae,pelagic,species,26.8,13.1,57.1,0.312,0.157,0.652,0.137,0.074,0.261,18.4,15.2,21.2,65,27,147,460,70,"2,019",0.418,0.245,0.858
Parupeneus forsskali,Red Sea goatfish,Mullidae,benthic,species,52.3,19.1,149.4,0.867,0.305,2.24,0.391,0.144,1.053,18,15,21,31.2,9.4,100.8,106,12,749,0.634,0.311,1.412
Parupeneus heptacanthus,Cinnabar goatfish,Mullidae,benthic,species,40.8,17.3,93.9,0.365,0.171,0.848,0.243,0.108,0.537,16.9,13.7,19.8,53.7,21.3,143.6,408,56,"2,135",0.749,0.42,1.612
Parupeneus indicus,Indian goatfish,Mullidae,benthic,species,40.1,17,92.1,0.383,0.179,0.876,0.239,0.108,0.533,17.1,13.9,20,60.6,24.4,159.8,294,41,"1,443",0.696,0.39,1.508
Parupeneus macronemus,Long-barbel goatfish,Mullidae,benthic,species,34.6,17.4,73.8,0.311,0.169,0.637,0.122,0.07,0.218,18.3,15.1,21.1,63.1,29.1,139.9,234,38,923,0.545,0.328,1.133
Parupeneus pleurostigma,Sidespot goatfish,Mullidae,benthic,species,39.6,19.9,86.6,0.334,0.18,0.694,0.124,0.07,0.223,18.2,15.1,21,60.4,27.6,135.7,233,39,930,0.583,0.35,1.211
Parupeneus porphyreus,,Mullidae,pelagic,species,36.9,17.9,83.4,0.324,0.166,0.689,0.128,0.071,0.241,18.7,15.5,21.5,71.8,30.9,172.5,175,27,704,0.481,0.283,0.995
Parupeneus trifasciatus,Doublebar goatfish,Mullidae,benthic,species,38.3,19.2,83,0.323,0.175,0.672,0.125,0.071,0.224,18.3,15.1,21.1,61.2,27.9,136.5,242,39,960,0.565,0.339,1.173
Pastinachus sephen,Cowtail stingray,Dasyatidae,benthic,species,14.2,1.8,76.9,0.495,0.085,1.976,0.172,0.052,0.527,20.6,17.8,23.2,33.8,7,145.9,35.4,6.5,183,0.883,0.225,3.463
Pempheris adusta,Dusky sweeper,Pempheridae,benthic,genus,54.5,29.7,102.7,1.07,0.6,1.83,0.204,0.117,0.351,19.5,18.4,20.6,12.6,6.3,26.6,39.3,10.2,144.6,1.09,0.68,1.75
Pempheris oualensis,Blackspot sweeper,Pempheridae,benthic,species,67.3,41.9,105.2,0.621,0.401,1.015,0.143,0.094,0.216,19.1,18,20.1,27.4,15.8,50.8,76.5,25.2,223,1.21,0.82,1.75
Pempheris schwenkii,Silver sweeper,Pempheridae,pelagic,species,75.6,44.2,122,0.832,0.536,1.37,0.154,0.092,0.25,18.7,17.6,19.8,25.5,12.7,47.3,117,38,356,1.23,0.82,1.84
Periophthalmus argentilineatus,Barred mudskipper,Oxudercidae,benthic,species,98.7,46,189.1,0.866,0.483,1.612,0.289,0.125,0.646,17.5,15.7,19.2,28.1,12.4,62.2,109,27,384,1.96,1.19,3.14
Periophthalmus kalolo,Common mudskipper,Oxudercidae,benthic,species,116,51,226,0.901,0.494,1.729,0.301,0.128,0.697,17.4,15.6,19.1,25.3,11.1,58.2,139,34,505,2.12,1.28,3.47
Pervagor melanocephalus,Redtail filefish,Monacanthidae,benthic,genus,82.3,28.3,184.2,0.79,0.47,1.64,0.118,0.054,0.24,18.3,16,20.6,28.5,14.2,64.9,53.9,15.8,178.9,1.51,0.89,2.49
Petroscirtes mitratus,Floral blenny,Blenniidae,benthic,species,137,69,278,0.968,0.579,1.667,0.102,0.053,0.188,18.1,17,19.2,28,13,61,62.6,17.9,228.2,2.39,1.5,3.84
Petroscirtes variabilis,Variable sabretooth blenny,Blenniidae,benthic,species,98.9,58,184.8,0.717,0.451,1.134,0.109,0.066,0.177,18.6,17.6,19.6,31.3,17.1,57.4,90.4,32.8,234,1.76,1.2,2.55
Phoxocampus belcheri,Rock pipefish,Syngnathidae,pelagic,family,240,124,496,1.06,0.65,1.81,0.144,0.08,0.273,18.4,17.2,19.7,31.2,14.5,68.6,83.5,27.1,250.3,2.05,1.35,3.1
Phyllophichthus xenodontus,Flappy snake-eel,Ophichthidae,benthic,family,72.1,42.2,123.1,0.625,0.403,0.984,0.133,0.062,0.341,19.7,17.4,22,45.5,25.5,85.7,44.6,12.6,142.3,1.22,0.87,1.69
Plagiotremus rhinorhynchos,Bluestriped fangblenny,Blenniidae,pelagic,species,78.1,37,172.5,1.06,0.58,2.16,0.214,0.11,0.43,19.5,18.4,20.7,12.9,5.7,31.4,197,59,600,1.07,0.65,1.77
Plagiotremus tapeinosoma,Piano fangblenny,Blenniidae,pelagic,species,96.1,54,182.1,0.788,0.493,1.283,0.128,0.076,0.214,18.6,17.6,19.7,29.7,15.3,55.4,193,75,464,1.45,1,2.08
Planiliza carinata,Keeled mullet,Mugilidae,benthic,genus,310,126,685,2.41,1.36,4.61,0.734,0.315,1.767,17.3,15.6,19,40.1,17.2,95.8,18.8,4.3,76.1,2.68,1.68,4.35
Planiliza macrolepis,Largescale mullet,Mugilidae,benthic,species,129,56,279,1.04,0.62,2.13,0.571,0.26,1.328,17.4,15.7,19.1,70,33,155,18.4,4.7,74.5,1.51,0.95,2.48
Planiliza melinoptera,Otomebora mullet,Mugilidae,benthic,species,51.5,18.7,134.6,1.4,0.7,3.1,0.509,0.206,1.345,18.5,16.7,20.3,16,6,39,47,8,254,1.62,0.9,3.07
Platax orbicularis,Orbicular batfish,Ephippidae,benthic,species,40.3,21.3,74.7,0.615,0.352,1.266,0.232,0.117,0.458,17.9,16.7,19,32.4,15.3,74.9,57.2,13.8,213.2,1.26,0.81,1.99
Platax pinnatus,Dusky batfish,Ephippidae,benthic,species,35.6,21.1,55.9,0.582,0.384,0.953,0.135,0.088,0.201,19,18,20,32.3,17.3,57.5,87.8,29.4,260.1,0.876,0.6,1.268
Platybelone platyura,Keeled needlefish,Belonidae,pelagic,species,69.6,29.7,179.2,0.559,0.295,1.015,0.154,0.067,0.405,18.1,16,20.1,39.2,16.8,85.6,222,66,848,0.959,0.602,1.514
Platycephalus indicus,Bartail flathead,Platycephalidae,benthic,species,70.2,15.1,216,1.81,0.59,5.06,0.378,0.127,1.173,17.5,15.1,19.7,53.1,10.2,176.4,27.6,6,127.4,0.989,0.477,2.059
Plectorhinchus albovittatus,Two-striped sweetlips,Haemulidae,pelagic,species,30,15,61,0.505,0.269,1.03,0.253,0.114,0.525,18.5,16.5,20.5,41.6,18.5,89.4,93.7,28.2,317.4,1.09,0.62,1.78
Plectorhinchus flavomaculatus,Lemonfish,Haemulidae,pelagic,species,36.2,21.4,62.9,0.482,0.273,0.833,0.14,0.08,0.22,19.7,17.8,21.7,40.6,23,69.4,79.1,32.2,182.9,0.952,0.58,1.366
Plectorhinchus gibbosus,Harry hotlips,Haemulidae,benthic,species,37.1,17.8,83.5,0.592,0.299,1.285,0.226,0.098,0.478,18.1,16.1,20.3,35.1,14.7,86.1,54,14,195,1.1,0.6,1.9
Plectorhinchus picus,Painted sweetlip,Haemulidae,benthic,species,30.2,17.9,52.1,0.469,0.278,0.788,0.131,0.074,0.202,19.8,17.8,21.7,45.7,26.2,77.5,57.1,23.7,127.6,0.882,0.536,1.262
Plectorhinchus schotaf,Minstrel sweetlips,Haemulidae,benthic,genus,35.2,17.1,71.3,0.592,0.314,1.131,0.249,0.114,0.512,18.4,16.4,20.4,40.2,19.1,84.9,77.5,24.1,251.3,1.22,0.71,1.94
Plectorhinchus sordidus,Sordid rubberlip,Haemulidae,pelagic,species,42.4,25,77,0.552,0.327,0.944,0.141,0.08,0.218,19.9,17.9,21.8,44.3,25.1,75,55.7,23.4,127,0.955,0.581,1.367
Plectorhinchus vittatus,Indian Ocean oriental sweetlips,Haemulidae,benthic,species,29.1,17,48.5,0.453,0.265,0.757,0.128,0.072,0.201,19.5,17.6,21.5,41.5,23.8,69.1,70.9,28.2,166.1,0.951,0.584,1.387
Plectranthias longimanus,Longfin perchlet,Serranidae,benthic,species,266,126,675,1.11,0.62,2.09,0.21,0.11,0.41,18.1,16.1,20.1,22,10,49,189,53,669,2.31,1.41,3.75
Plectranthias winniensis,Redblotch basslet,Serranidae,benthic,genus,262,122,663,1.04,0.57,2,0.221,0.111,0.438,18.4,16.3,20.4,22.7,9.7,52.9,208,55,766,2.09,1.26,3.43
Plectroglyphidodon dickii,Blackbar devil,Pomacentridae,benthic,species,96.9,58,162.6,0.679,0.41,1.163,0.161,0.098,0.262,18.9,17.8,20,22.1,11.5,43.6,140,44,426,1.44,0.94,2.14
Plectroglyphidodon fasciolatus,Pacific gregory,Pomacentridae,benthic,species,76,45,146,0.842,0.563,1.288,0.135,0.087,0.205,18.8,17.8,19.7,31.1,17.3,55.3,55.8,18.7,168.5,1.8,1.3,2.5
Plectroglyphidodon imparipennis,Brighteye damselfish,Pomacentridae,benthic,species,166,94,370,0.981,0.596,1.597,0.184,0.112,0.305,19,18,20,23.9,12.4,43.8,140,50,384,2.06,1.41,2.97
Plectroglyphidodon johnstonianus,Johnston Island damsel,Pomacentridae,benthic,species,86.4,52.6,137.9,0.695,0.449,1.142,0.149,0.094,0.231,18.9,17.8,20,24.1,13.4,45.3,92.8,30.2,276,1.4,0.9,2
Plectroglyphidodon leucozonus,Singlebar devil,Pomacentridae,benthic,species,85,48,145,0.846,0.538,1.386,0.123,0.072,0.204,18.3,17.1,19.4,24.6,12.3,49.4,50.9,13.1,190.8,1.78,1.15,2.72
Plectropomus laevis,Blacksaddled coralgrouper,Serranidae,pelagic,species,21.3,12.2,36.8,0.475,0.301,0.758,0.136,0.091,0.205,18.8,16.8,20.6,52.2,29.9,84.8,71.9,28,211.5,0.712,0.496,1.03
Plectropomus maculatus,Spotted coralgrouper,Serranidae,pelagic,species,21.3,12.2,36.8,0.475,0.301,0.758,0.136,0.091,0.205,18.8,16.8,20.6,52.2,29.9,84.8,71.9,28,211.5,0.712,0.496,1.03
Plectropomus punctatus,Marbled coralgrouper,Serranidae,pelagic,species,22.6,12.5,38.2,0.421,0.252,0.688,0.15,0.1,0.23,18.7,16.7,20.6,43.6,24.3,75.4,143,51,457,0.721,0.487,1.073
Plectrypops lima,Shy soldier,Holocentridae,benthic,species,107,47,285,0.782,0.401,1.629,0.154,0.064,0.372,18.8,17.6,20.1,29.9,15.5,61.7,50.8,14.6,180,1.36,0.79,2.34
Plesiops coeruleolineatus,Crimsontip longfin,Plesiopidae,benthic,species,141,81,285,0.769,0.455,1.267,0.125,0.074,0.214,18.8,17.7,19.8,28.7,14.7,55.9,130,47,341,1.82,1.24,2.68
Pleurosicya coerulea,Blue coral ghost goby,Gobiidae,benthic,genus,459,186,"1,188",1.33,0.68,2.78,0.141,0.058,0.317,18,16,20,21.3,8,54.9,134,33,517,2.95,1.62,5.26
Pleurosicya mossambica,Toothy goby,Gobiidae,benthic,genus,358,152,877,1.19,0.63,2.39,0.135,0.057,0.286,18,16,20,22.6,9.2,55,126,33,463,2.71,1.51,4.72
Pleurosicya muscarum,Ghost goby,Gobiidae,benthic,genus,397,166,"1,065",1.42,0.75,2.88,0.203,0.088,0.441,18.5,16.4,20.3,19.4,8.2,48.1,141,33,524,2.75,1.56,4.77
Pleurosicya plicata,Plicata ghost goby,Gobiidae,benthic,genus,294,129,686,1.06,0.57,2.08,0.131,0.056,0.27,18,16,20,22.2,9.6,52.8,145,39,506,2.59,1.46,4.45
Plicomugil labiosus,Hornlip mullet,Mugilidae,benthic,family,46.5,20.4,111.1,0.68,0.43,1.39,0.158,0.081,0.334,19,17,21,37.7,18.3,82.1,46.4,10.8,193,1.52,0.96,2.41
Plotosus lineatus,Striped eel catfish,Plotosidae,benthic,species,79.9,37.2,180.3,0.857,0.503,1.483,0.303,0.131,0.658,16.8,14.4,19.2,36,17,81,92.9,26.5,315.2,1.58,1.02,2.35
Pogonoperca punctata,,Serranidae,pelagic,species,52.3,31.2,97.8,0.529,0.311,0.862,0.156,0.105,0.236,18.6,16.7,20.5,36.5,21.3,63.1,103,36,305,1.15,0.78,1.67
Polydactylus sexfilis,Sixfinger threadfin,Polynemidae,benthic,species,48.8,22.5,94.7,0.715,0.336,1.539,0.236,0.119,0.473,18.9,17,20.7,35.9,15.8,88.4,36.9,9.4,134.6,1.3,0.8,2.3
Pomacanthus chrysurus,Goldtail angelfish,Pomacanthidae,benthic,species,36.6,21,59.5,0.502,0.321,0.817,0.114,0.071,0.177,18.5,17.3,19.7,27.9,14.8,52.9,68.8,18.6,244.2,1.24,0.81,1.86
Pomacanthus imperator,Emperor angelfish,Pomacanthidae,benthic,species,27.7,14.9,48.2,0.413,0.244,0.72,0.111,0.066,0.183,18.4,17.2,19.7,26.6,13.1,54,95.1,22.7,371.6,1.16,0.72,1.81
Pomacanthus maculosus,Yellowbar angelfish,Pomacanthidae,benthic,species,29.2,17.2,47.8,0.465,0.299,0.752,0.108,0.069,0.165,18.7,17.5,19.8,31.8,17.2,59.1,53,15,180,1.09,0.72,1.63
Pomacanthus semicirculatus,Semicircle angelfish,Pomacanthidae,benthic,species,31.5,18,51.6,0.462,0.291,0.756,0.112,0.07,0.174,18.6,17.4,19.7,28.7,15.3,54.6,70.2,18.5,246.8,1.16,0.75,1.74
Pomacentrus caeruleus,Caerulean damsel,Pomacentridae,benthic,species,110,66,229,0.906,0.576,1.371,0.157,0.101,0.241,18.9,17.9,19.8,27.8,15.1,46,89.9,32.9,242,1.92,1.36,2.69
Pomacentrus indicus,Indian damsel,Pomacentridae,benthic,genus,91.9,53.4,153.3,0.825,0.536,1.332,0.132,0.079,0.211,18.4,17.3,19.5,23.7,12.6,46.4,62.9,17.8,218.8,1.73,1.14,2.62
Pomacentrus pavo,Sapphire damsel,Pomacentridae,pelagic,species,98.1,53.2,168.9,0.939,0.592,1.581,0.159,0.089,0.278,18.4,17.3,19.5,21.3,9.9,42.9,153,47,507,1.52,0.98,2.35
Pomacentrus sulfureus,Sulphur damsel,Pomacentridae,benthic,genus,97.1,57.1,193.1,0.892,0.573,1.39,0.146,0.091,0.23,18.7,17.7,19.7,27.9,14.9,48.9,78.1,26.4,233.9,1.97,1.37,2.8
Pomacentrus trilineatus,Threeline damsel,Pomacentridae,benthic,species,104,61,172,0.846,0.558,1.354,0.139,0.085,0.222,18.5,17.4,19.6,23.3,12.5,44.2,69.4,20.9,225.3,1.71,1.14,2.56
Pomacentrus tripunctatus,Threespot damsel,Pomacentridae,benthic,species,146,66,287,1.22,0.64,2.36,0.266,0.113,0.604,17,16,18,19.8,8.5,51.3,85.4,18.1,390.5,2.65,1.59,4.44
Pomadasys commersonnii,Smallspotted grunter,Haemulidae,benthic,species,47.8,24.4,94.1,0.8,0.4,1.4,0.248,0.113,0.513,18.6,16.6,20.6,48.1,21.3,102.4,35.9,11.2,111.6,1.25,0.74,1.94
Pomadasys kaakan,Javelin grunter,Haemulidae,benthic,species,41.6,21.1,83.2,0.71,0.38,1.3,0.245,0.114,0.504,18.5,16.5,20.5,44.5,21.5,92.8,49.1,15.8,153.3,1.25,0.74,1.94
Pomadasys maculatus,Saddle grunt,Haemulidae,pelagic,species,44.8,21.6,85.6,0.605,0.325,1.217,0.275,0.124,0.58,18.4,16.5,20.5,36.8,16.8,81.9,108,34,346,1.26,0.72,2.03
Priacanthus blochii,Paeony bulleye,Priacanthidae,benthic,genus,62.3,37.1,102.2,0.632,0.413,1.068,0.138,0.09,0.212,19.4,18.4,20.5,34.1,19.1,63.9,42.6,13.7,128.5,1.03,0.71,1.5
Priacanthus hamrur,Moontail bullseye,Priacanthidae,benthic,species,53.3,31.6,86.2,0.624,0.409,1.032,0.129,0.084,0.193,19.4,18.4,20.4,37.5,21.4,68.8,31.5,10.2,94.8,0.998,0.685,1.444
Priolepis cincta,Banded reef goby,Gobiidae,benthic,genus,204,85,428,1.19,0.64,2.42,0.332,0.132,0.807,17.3,15.5,19,22.3,8.5,54.7,143,34,542,2.63,1.55,4.35
Priolepis compita,Crossroads goby,Gobiidae,benthic,genus,341,149,875,1.3,0.7,2.6,0.198,0.087,0.417,18.4,16.4,20.2,19.4,8.3,46.2,153,38,553,2.65,1.51,4.51
Priolepis inhaca,Brick goby,Gobiidae,benthic,genus,237,113,564,1.11,0.6,2.1,0.184,0.086,0.355,18.4,16.6,20.2,21.5,10,46.7,137,37,446,2.33,1.38,3.79
Priolepis semidoliata,Half-barred goby,Gobiidae,benthic,genus,327,142,818,1.23,0.64,2.48,0.199,0.088,0.412,18.3,16.4,20.1,18.5,7.9,44.1,183,45,655,2.68,1.52,4.52
Prionace glauca,Blue shark,Carcharhinidae,pelagic,species,15.6,2,61.9,1.32,0.39,3.95,0.623,0.204,1.723,20.6,18.1,22.9,13.2,3.2,40.6,9.55,2.86,34,0.317,0.142,1.08
Pristiapogon fraenatus,Bridled cardinalfish,Apogonidae,benthic,species,131,76,236,0.888,0.567,1.573,0.159,0.094,0.265,19.1,18,20.2,26.1,13.4,52.7,61.6,19.4,197.7,1.48,0.98,2.22
Pristiapogon kallopterus,Iridescent cardinalfish,Apogonidae,benthic,species,132,63,236,1.01,0.57,2.02,0.297,0.141,0.646,17.9,16.7,19.1,26.4,9.5,65.7,72.4,18.2,268.7,1.78,1.11,2.83
Pristipomoides argyrogrammicus,Ornate jobfish,Lutjanidae,pelagic,species,49.1,25.3,93.4,0.673,0.407,1.104,0.168,0.109,0.262,19.2,17.3,20.8,39.3,22,70.8,110,42,325,0.961,0.615,1.415
Pristipomoides filamentosus,Crimson jobfish,Lutjanidae,pelagic,species,16.2,7.6,31.3,0.279,0.149,0.482,0.23,0.11,0.48,17.4,15.3,19.2,25.7,10.8,55.6,15.5,3.8,73.5,0.368,0.222,0.584
Pristipomoides sieboldii,Lavender jobfish,Lutjanidae,pelagic,species,16.2,7.9,32.2,0.357,0.186,0.582,0.321,0.166,0.618,17.6,15.5,19.4,23.5,10.9,46,12.7,3.4,52,0.391,0.244,0.599
Pristipomoides typus,Sharptooth jobfish,Lutjanidae,pelagic,species,90.2,47,155.7,0.773,0.437,1.348,0.272,0.156,0.465,18.5,16.7,20.2,81.1,40.4,150.5,27.3,10.1,88.7,0.75,0.49,1.15
Pristipomoides zonatus,Oblique-banded snapper,Lutjanidae,pelagic,species,17.7,8.6,33.4,0.317,0.176,0.541,0.351,0.18,0.682,17.5,15.5,19.3,19.6,9.4,37.8,24.4,6.7,100.5,0.408,0.254,0.617
Promethichthys prometheus,Roudi escolar,Gempylidae,benthic,species,56.9,29.9,109.5,0.743,0.418,1.426,0.235,0.143,0.378,18.3,15.9,20.4,39.4,19.2,78.2,14.3,4.9,40.7,0.737,0.521,1.058
Psettodes erumei,Indian halibut,Psettodidae,pelagic,species,128,61,278,0.958,0.53,1.605,0.206,0.097,0.398,18.8,17.3,20.2,90.9,41.6,190.7,16.7,5.1,54.2,0.723,0.469,1.055
Pseudalutarius nasicornis,Rhinoceros leatherjacket,Monacanthidae,benthic,species,52.7,17.1,163.7,1.17,0.62,2.22,0.2,0.1,0.4,19.4,17.2,21.7,16.7,7.5,37.5,46.6,15.1,146.2,1.23,0.69,2.12
Pseudamia gelatinosa,Gelatinous cardinalfish,Apogonidae,benthic,genus,162,92,348,0.892,0.563,1.496,0.124,0.072,0.215,19,18,20,33.2,16.5,65,75.6,26.3,209.2,1.79,1.21,2.62
Pseudanthias cooperi,Red-bar anthias,Serranidae,pelagic,species,85.2,47.3,175.5,0.901,0.543,1.48,0.173,0.104,0.286,18.1,16.1,20,30,16,56,151,54,464,1.43,0.94,2.18
Pseudanthias evansi,Yellowback anthias,Serranidae,pelagic,species,90.2,49.2,185.4,0.898,0.54,1.495,0.177,0.104,0.296,18,16,20,28.1,14.6,53.9,181,63,554,1.49,0.97,2.3
Pseudanthias squamipinnis,Sea goldie,Serranidae,pelagic,species,78.5,43.1,157.6,0.856,0.518,1.399,0.171,0.104,0.28,18.1,16,20,30,16,55,160,57,484,1.41,0.93,2.14
Pseudobalistes flavimarginatus,Yellowmargin triggerfish,Balistidae,benthic,species,53.6,18.2,115.8,0.86,0.46,1.74,0.209,0.089,0.508,17.5,15.4,19.6,40.8,17.7,101.8,24.4,5.8,95.8,1.36,0.82,2.23
Pseudobalistes fuscus,Yellow-spotted triggerfish,Balistidae,benthic,species,39.6,15.5,83.2,0.48,0.28,0.98,0.127,0.066,0.259,19,17,21,36.2,18.3,81.6,59.9,18,197.7,0.886,0.583,1.378
Pseudocheilinus evanidus,Striated wrasse,Labridae,benthic,species,134,76,292,0.895,0.515,1.549,0.177,0.104,0.297,18.6,15.8,20.9,26.5,14,49.5,139,45,457,2.06,1.37,3.66
Pseudocheilinus hexataenia,Sixline wrasse,Labridae,pelagic,species,102,54,210,1.05,0.63,1.77,0.174,0.096,0.302,18.3,15.5,20.6,26,13,51,180,60,596,1.85,1.22,3.36
Pseudocheilinus octotaenia,Eight-lined wrasse,Labridae,benthic,species,90,54,178,0.75,0.44,1.3,0.162,0.101,0.254,18.6,15.8,20.9,28.7,16.2,48.7,130,44,416,1.84,1.26,3.24
Pseudochromis aldabraensis,Orange dottyback,Pseudochromidae,benthic,genus,352,201,606,1.22,0.72,2.08,0.304,0.184,0.513,18.5,17.7,19.3,51.1,25.9,94.3,30,12,70,1.62,1.14,2.3
Pseudocoris heteroptera,Torpedo wrasse,Labridae,pelagic,species,62.3,34.1,116.1,0.813,0.504,1.358,0.16,0.1,0.26,18.4,15.6,20.7,30.1,16.4,53.7,162,58,503,1.48,1.01,2.67
Pseudodax moluccanus,Chiseltooth wrasse,Labridae,benthic,species,51,30,89,0.655,0.407,1.104,0.131,0.084,0.197,18.5,15.7,20.8,34.8,19.9,56.8,71.4,23.7,230.8,1.62,1.12,2.78
